silver          | 26/04/18 21:19:31 INFO TaskSetManager: Starting task 1.0 in stage 1264.0 (TID 13062) (172.18.0.7, executor 13, partition 1, PROCESS_LOCAL, 8795 bytes) 
silver          | 26/04/18 21:19:31 INFO TaskSetManager: Starting task 2.0 in stage 1264.0 (TID 13063) (172.18.0.8, executor 14, partition 2, PROCESS_LOCAL, 8795 bytes) 
silver          | 26/04/18 21:19:31 INFO TaskSetManager: Starting task 3.0 in stage 1264.0 (TID 13064) (172.18.0.6, executor 16, partition 3, PROCESS_LOCAL, 8795 bytes) 
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Completed: Adding partition columns (took 0.27 seconds)


silver          | 26/04/18 21:19:31 INFO BlockManagerInfo: Added broadcast_2707_piece0 in memory on 172.18.0.7:43221 (size: 29.3 KiB, free: 864.8 MiB)
silver          | 26/04/18 21:19:31 INFO BlockManagerInfo: Added broadcast_2707_piece0 in memory on 172.18.0.6:36531 (size: 29.3 KiB, free: 864.8 MiB)
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Writing batch to bronze path: /workspace/data/bronze/callfiltering
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Partitioning by: ['year', 'month', 'day']
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Max records per file: 250000
bronze          | 2026-04-18 21:19:31 [INFO ] bronze_ingestor.delta_writer: Starting: Writing batch to Delta
silver          | 26/04/18 21:19:32 INFO BlockManagerInfo: Added broadcast_2707_piece0 in memory on 172.18.0.8:32917 (size: 29.3 KiB, free: 864.7 MiB)
gold            | 26/04/18 21:19:32 INFO BlockManagerInfo: Added rdd_217_18 in memory on 172.18.0.9:35481 (size: 1527.0 B, free: 1222.5 MiB)
silver          | 26/04/18 21:19:32 INFO BlockManagerInfo: Added broadcast_2707_piece0 in memory on 172.18.0.9:37307 (size: 29.3 KiB, free: 865.0 MiB)
gold            | 26/04/18 21:19:32 INFO BlockManagerInfo: Added rdd_810_18 in memory on 172.18.0.9:35481 (size: 882.0 B, free: 1222.5 MiB)
